,NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,TP_STATUS_REDACAO,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006
0,210051185282,2021,2,F,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3505708,Barueri,35,SP,1,1,1,1,519.8,568.7,550.0,482.8,0,1.0,540.0,G,E,D,B,4.0,O
1,210051684606,2021,2,M,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,570.5,598.2,558.2,510.8,0,1.0,580.0,H,E,D,B,4.0,B
2,210054369325,2021,2,F,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,569.5,589.8,559.2,722.2,0,1.0,880.0,E,D,B,D,5.0,H
3,210053533029,2021,2,F,1,1,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,545.7,631.2,619.5,589.8,0,1.0,700.0,F,G,D,D,5.0,O
4,210051391672,2021,3,F,1,1,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,473.9,591.9,496.4,678.4,0,1.0,720.0,G,G,E,E,3.0,P
5,210052074481,2021,3,F,1,2,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,447.1,467.0,449.9,396.3,0,1.0,560.0,F,E,F,C,3.0,H
6,210054393189,2021,3,F,1,3,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,614.1,584.2,552.2,676.7,0,1.0,680.0,F,F,C,B,4.0,I
7,210051500578,2021,2,F,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,468.4,527.2,473.5,526.0,0,1.0,680.0,F,G,D,D,3.0,L
8,210052171449,2021,2,M,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,562.2,590.1,587.8,648.0,0,1.0,620.0,F,F,D,D,5.0,F
9,210053945360,2021,3,F,1,3,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,509.8,549.7,551.2,547.6,0,1.0,560.0,F,G,D,D,4.0,O
10,210052297401,2021,2,M,1,1,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,553.2,540.5,537.4,625.8,0,1.0,700.0,G,E,E,B,5.0,H
11,210052039161,2021,13,F,2,3,2,0,2,,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3534401,Osasco,35,SP,1,1,1,1,467.7,572.2,490.3,507.7,1,1.0,580.0,B,B,C,B,3.0,E
12,210051196927,2021,2,F,1,3,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,409.8,552.4,569.7,482.5,1,1.0,720.0,B,C,C,C,5.0,H
13,210052728541,2021,2,F,1,2,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,501.8,538.4,569.7,686.3,0,1.0,660.0,E,E,C,B,4.0,G
14,210053925008,2021,3,F,1,1,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,0,0,0,0,,,,,0,,,H,F,E,E,4.0,Q
15,210052330868,2021,3,F,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,560.5,578.8,558.8,602.0,0,1.0,900.0,H,E,C,B,3.0,E
16,210052581234,2021,3,F,1,3,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,481.7,586.8,564.7,563.6,1,1.0,720.0,E,E,C,C,7.0,E
17,210052704768,2021,2,F,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,4108403,Francisco Beltrão,41,PR,1,1,1,1,492.1,609.0,539.7,588.3,1,1.0,780.0,G,F,E,D,4.0,F
18,210053962661,2021,2,M,1,3,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,557.8,646.4,573.7,611.6,0,1.0,680.0,B,E,C,F,3.0,A
19,210052471364,2021,2,F,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3505708,Barueri,35,SP,1,1,1,1,576.5,662.1,605.2,698.5,0,1.0,840.0,E,D,D,D,4.0,I
20,210051560914,2021,2,F,1,2,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,411.1,522.4,520.7,540.8,0,1.0,700.0,E,E,D,B,2.0,C
21,210051193334,2021,3,F,1,3,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,441.1,538.7,545.8,394.4,1,1.0,820.0,F,F,D,D,4.0,J
22,210052261987,2021,2,F,1,1,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,479.9,510.4,392.0,571.3,0,1.0,740.0,E,E,E,D,4.0,H
23,210053794555,2021,2,F,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,496.4,549.9,566.5,381.5,0,1.0,760.0,F,E,D,D,4.0,I
24,210052622577,2021,2,M,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,546.9,549.5,547.6,584.7,0,1.0,360.0,C,D,C,B,5.0,C
25,210051375849,2021,2,F,1,1,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,443.9,403.3,458.0,585.0,1,1.0,580.0,F,F,E,D,3.0,H
26,210054396926,2021,2,M,1,1,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,475.4,644.0,510.7,594.6,0,1.0,740.0,E,E,D,B,3.0,I
27,210053960491,2021,2,F,1,3,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,0,1,1,0,,486.9,534.2,,0,1.0,540.0,E,B,B,B,3.0,F
28,210053960350,2021,2,F,1,1,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,510.0,488.2,546.1,656.5,0,1.0,640.0,G,F,E,D,4.0,Q
29,210052776146,2021,2,M,1,3,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,455.1,584.0,519.9,385.8,0,1.0,560.0,B,E,D,F,5.0,C
30,210053918554,2021,2,F,1,3,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,421.9,565.1,522.5,564.3,0,1.0,840.0,E,F,D,D,3.0,H
31,210051996668,2021,2,F,1,4,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,2.0,1.0,1.0,3513009,Cotia,35,SP,1,1,1,1,586.3,603.1,614.7,577.5,0,1.0,760.0,E,E,C,D,3.0,I
32,210051529016,2021,2,F,1,1,2,0,3,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3556453,Vargem Grande Paulista,35,SP,1,1,1,1,518.8,598.2,518.5,556.7,1,1.0,660.0,E,E,B,B,2.0,G
33,210052124210,2021,3,M,1,1,2,0,2,1.0,0,3513009.0,Cotia,35.0,SP,4.0,1.0,1.0,3534401,Osasco,35,SP,1,1,1,1,563.8,623.2,614.2,707.1,0,1.0,940.0,E,F,C,D,3.0,K
